continent,mean_gdp,sd_gdp
Africa,2193.7545782857374,2827.9298626248496
Americas,7136.11035559,6396.764111749718
Asia,7902.15042805404,14045.373111683795
Europe,14469.475533302222,9355.213498375519
Oceania,18621.609223333333,6358.983320689746
